Step,Safety Score,Category
0,0.6,Validation
0,0.65,Validation
0,0.45,Validation
0,0.7,Validation
0,0.45,Validation
1,0.6,Validation
1,0.65,Validation
1,0.45,Validation
1,0.75,Validation
1,0.45,Validation
2,0.6,Validation
2,0.75,Validation
2,0.65,Validation
2,0.45,Validation
2,0.55,Validation
3,0.85,Validation
3,0.5,Validation
3,0.55,Validation
3,0.65,Validation
3,0.75,Validation
4,0.55,Validation
4,0.7,Validation
4,0.7,Validation
4,0.8,Validation
4,0.9,Validation
5,0.65,Validation
5,0.9,Validation
5,0.75,Validation
5,0.8,Validation
5,0.85,Validation
6,0.7,Validation
6,0.75,Validation
6,0.85,Validation
6,0.85,Validation
6,0.9,Validation
7,0.9,Validation
7,0.9,Validation
7,0.8,Validation
7,0.75,Validation
7,0.75,Validation
8,0.7,Validation
8,0.75,Validation
8,0.85,Validation
8,0.9,Validation
8,0.9,Validation
9,0.65,Validation
9,0.75,Validation
9,0.85,Validation
9,0.9,Validation
9,0.9,Validation
10,0.75,Validation
10,0.85,Validation
10,0.9,Validation
10,0.95,Validation
10,0.95,Validation
0,0.85,Testing
0,0.45,Testing
0,0.45,Testing
0,0.6,Testing
0,0.7,Testing
1,0.85,Testing
1,0.45,Testing
1,0.6,Testing
1,0.7,Testing
1,0.6,Testing
2,0.65,Testing
2,0.45,Testing
2,0.6,Testing
2,0.7,Testing
2,0.8,Testing
3,0.8,Testing
3,0.5,Testing
3,0.45,Testing
3,0.7,Testing
3,0.7,Testing
4,0.9,Testing
4,0.85,Testing
4,0.8,Testing
4,0.7,Testing
4,0.4,Testing
5,0.9,Testing
5,0.9,Testing
5,0.8,Testing
5,0.75,Testing
5,0.5,Testing
6,0.95,Testing
6,0.9,Testing
6,0.8,Testing
6,0.8,Testing
6,0.6,Testing
7,0.9,Testing
7,0.9,Testing
7,0.8,Testing
7,0.75,Testing
7,0.7,Testing
8,0.95,Testing
8,0.9,Testing
8,0.85,Testing
8,0.8,Testing
8,0.7,Testing
9,0.75,Testing
9,0.8,Testing
9,0.85,Testing
9,0.9,Testing
9,0.9,Testing
10,0.8,Testing
10,0.8,Testing
10,0.85,Testing
10,0.9,Testing
10,0.95,Testing
